config,case,n,k,T,second_shell,third_shell,accept_num,accept_den,third_trigger_num,third_trigger_den,exact_ms,approx_ms,speedup_over_exact,approx_kernel_ms,approx_fallback_count,approx_mae,approx_max_abs_error,approx_mismatch_count
baseline_2p00,tune_4096_k16_t15,4096,16,15,1,0,2,1,1,1,1.684557,1.599101,1.0534400266149542,0.975872,0,0.087646484375,23,22
baseline_2p00,tune_8192_k32_t20,8192,32,20,1,0,2,1,1,1,3.084778,2.920557,1.0562293425534923,2.733056,0,0.107177734375,24,97
baseline_2p00,tune_16384_k64_t30,16384,64,30,1,0,2,1,1,1,11.720954,11.313927,1.0359757491806338,11.02336,0,0.07000732421875,16,260
baseline_2p00,tune_32768_k32_t20,32768,32,20,1,0,2,1,1,1,7.328907,6.449585,1.136337764367785,6.142976,0,0.057159423828125,16,230
baseline_2p00,tune_50000_k64_t30,50000,64,30,1,0,2,1,1,1,79.534817,103.870914,0.7657082616987466,103.338976,28,0.12206,24,1236
accept_1p50,tune_4096_k16_t15,4096,16,15,1,0,3,2,1,1,0.993856,0.747273,1.329977130178663,0.549888,0,0.087646484375,23,22
accept_1p50,tune_8192_k32_t20,8192,32,20,1,0,3,2,1,1,3.962278,2.776194,1.4272338316414488,2.499584,0,0.107177734375,24,97
accept_1p50,tune_16384_k64_t30,16384,64,30,1,0,3,2,1,1,11.698411,11.411356,1.0251552050431167,11.137024,0,0.07000732421875,16,260
accept_1p50,tune_32768_k32_t20,32768,32,20,1,0,3,2,1,1,6.970444,6.526706,1.0679880478759116,6.232064,0,0.057159423828125,16,230
accept_1p50,tune_50000_k64_t30,50000,64,30,1,0,3,2,1,1,78.949954,104.12376,0.7582318771431228,103.624289,28,0.12206,24,1236
accept_1p25,tune_4096_k16_t15,4096,16,15,1,0,5,4,1,1,1.334763,0.722554,1.847284770411623,0.526336,0,0.087646484375,23,22
accept_1p25,tune_8192_k32_t20,8192,32,20,1,0,5,4,1,1,2.831062,2.292518,1.2349137498593252,2.156544,0,0.107177734375,24,97
accept_1p25,tune_16384_k64_t30,16384,64,30,1,0,5,4,1,1,14.769782,13.191652,1.1196309605498993,12.960768,0,0.07000732421875,16,260
accept_1p25,tune_32768_k32_t20,32768,32,20,1,0,5,4,1,1,9.089464,8.109074,1.1209003642092796,7.796736,0,0.057159423828125,16,230
accept_1p25,tune_50000_k64_t30,50000,64,30,1,0,5,4,1,1,79.637765,103.715146,0.7678508691488513,103.22477,28,0.12206,24,1236
accept_1p00,tune_4096_k16_t15,4096,16,15,1,0,1,1,1,1,1.033994,0.73581,1.405245919462905,0.54784,0,0.087646484375,23,22
accept_1p00,tune_8192_k32_t20,8192,32,20,1,0,1,1,1,1,3.456787,2.608916,1.3249897658644434,2.425856,0,0.107177734375,24,97
accept_1p00,tune_16384_k64_t30,16384,64,30,1,0,1,1,1,1,11.185394,10.661018,1.0491862972185209,10.395648,0,0.07000732421875,16,260
accept_1p00,tune_32768_k32_t20,32768,32,20,1,0,1,1,1,1,7.626259,6.966177,1.0947552725117378,6.66624,0,0.057159423828125,16,230
accept_1p00,tune_50000_k64_t30,50000,64,30,1,0,1,1,1,1,80.102099,103.938967,0.7706647594448384,103.406115,28,0.12206,24,1236
own_cell_only,tune_4096_k16_t15,4096,16,15,0,0,1,1,1,1,0.988475,2.488711,0.39718352191154377,2.266144,4096,0.0,0,0
own_cell_only,tune_8192_k32_t20,8192,32,20,0,0,1,1,1,1,2.834238,15.207548,0.18637047865967613,14.833856,8192,0.0,0,0
own_cell_only,tune_16384_k64_t30,16384,64,30,0,0,1,1,1,1,11.475174,65.557928,0.17503869249803014,65.172509,16384,0.0,0,0
own_cell_only,tune_32768_k32_t20,32768,32,20,0,0,1,1,1,1,6.786033,35.717967,0.18998934065872225,35.328096,32768,0.0,0,0
own_cell_only,tune_50000_k64_t30,50000,64,30,0,0,1,1,1,1,83.915612,518.69825,0.16178117431473885,518.233934,50000,0.0,0,0
accept_1p50_shell2,tune_4096_k16_t15,4096,16,15,1,1,3,2,1,1,1.086396,0.743174,1.46183262600683,0.559104,0,0.087646484375,23,22
accept_1p50_shell2,tune_8192_k32_t20,8192,32,20,1,1,3,2,1,1,2.983109,2.432091,1.2265614238940896,2.192384,0,0.107177734375,24,97
accept_1p50_shell2,tune_16384_k64_t30,16384,64,30,1,1,3,2,1,1,11.09651,10.351313,1.071990577427231,10.156032,0,0.07000732421875,16,260
accept_1p50_shell2,tune_32768_k32_t20,32768,32,20,1,1,3,2,1,1,7.618282,6.695806,1.1377692244966475,6.463488,0,0.057159423828125,16,230
accept_1p50_shell2,tune_50000_k64_t30,50000,64,30,1,1,3,2,1,1,79.506333,62.96365,1.2627338631099054,62.629887,0,0.12206,24,1236
accept_1p25_shell2,tune_4096_k16_t15,4096,16,15,1,1,5,4,1,1,1.033463,0.909119,1.1367741736780335,0.648192,0,0.087646484375,23,22
accept_1p25_shell2,tune_8192_k32_t20,8192,32,20,1,1,5,4,1,1,2.908734,2.349368,1.238092116688403,2.151424,0,0.107177734375,24,97
accept_1p25_shell2,tune_16384_k64_t30,16384,64,30,1,1,5,4,1,1,14.560691,13.543972,1.0750680081146062,13.227008,0,0.07000732421875,16,260
accept_1p25_shell2,tune_32768_k32_t20,32768,32,20,1,1,5,4,1,1,6.745203,6.148024,1.0971334854906227,5.699552,0,0.057159423828125,16,230
accept_1p25_shell2,tune_50000_k64_t30,50000,64,30,1,1,5,4,1,1,83.739297,65.972789,1.269300544501764,65.60051,0,0.12206,24,1236
accept_1p00_shell2,tune_4096_k16_t15,4096,16,15,1,1,1,1,1,1,1.035888,0.722655,1.4334474956929653,0.54272,0,0.087646484375,23,22
accept_1p00_shell2,tune_8192_k32_t20,8192,32,20,1,1,1,1,1,1,2.862292,2.585723,1.1069600262673147,2.379648,0,0.107177734375,24,97
accept_1p00_shell2,tune_16384_k64_t30,16384,64,30,1,1,1,1,1,1,14.27908,13.627987,1.0477761682631486,13.243392,0,0.07000732421875,16,260
accept_1p00_shell2,tune_32768_k32_t20,32768,32,20,1,1,1,1,1,1,7.112562,6.183946,1.1501656062326546,5.941248,0,0.057159423828125,16,230
accept_1p00_shell2,tune_50000_k64_t30,50000,64,30,1,1,1,1,1,1,78.264122,63.208109,1.2381974914009846,62.825474,0,0.12206,24,1236
accept_1p25_shell2_dense,tune_4096_k16_t15,4096,16,15,1,1,5,4,5,4,1.299734,0.711021,1.8279825771672003,0.531456,0,0.087646484375,23,22
accept_1p25_shell2_dense,tune_8192_k32_t20,8192,32,20,1,1,5,4,5,4,3.869445,3.455314,1.1198533620967588,3.017728,0,0.107177734375,24,97
accept_1p25_shell2_dense,tune_16384_k64_t30,16384,64,30,1,1,5,4,5,4,11.386869,10.394799,1.0954390748681144,10.166272,0,0.07000732421875,16,260
accept_1p25_shell2_dense,tune_32768_k32_t20,32768,32,20,1,1,5,4,5,4,12.462125,7.082404,1.7595896816956502,6.838272,0,0.057159423828125,16,230
accept_1p25_shell2_dense,tune_50000_k64_t30,50000,64,30,1,1,5,4,5,4,82.028299,63.455704,1.2926859813894747,62.861313,0,0.11002,20,1155
accept_1p00_shell2_dense,tune_4096_k16_t15,4096,16,15,1,1,1,1,5,4,1.002423,0.743295,1.3486206687788833,0.540672,0,0.087646484375,23,22
accept_1p00_shell2_dense,tune_8192_k32_t20,8192,32,20,1,1,1,1,5,4,3.013598,2.457401,1.2263354658030985,2.152448,0,0.107177734375,24,97
accept_1p00_shell2_dense,tune_16384_k64_t30,16384,64,30,1,1,1,1,5,4,14.189847,13.607045,1.0428309011986072,13.244416,0,0.07000732421875,16,260
accept_1p00_shell2_dense,tune_32768_k32_t20,32768,32,20,1,1,1,1,5,4,7.371869,6.944112,1.0615999569131374,6.6816,0,0.057159423828125,16,230
accept_1p00_shell2_dense,tune_50000_k64_t30,50000,64,30,1,1,1,1,5,4,80.473094,63.655533,1.264196373942859,63.283199,0,0.11002,20,1155
