config,second_shell,third_shell,accept_num,accept_den,third_trigger_num,third_trigger_den,cases,max_mae,avg_mae,geomean_speedup_over_exact,min_speedup_over_exact,max_speedup_over_exact,avg_fallback_count,max_fallback_count,valid_under_mae_1
accept_1p25_shell2_dense,1,1,5,4,5,4,5,0.11002,0.086402193359375,1.3852404885996297,1.0954390748681144,1.8279825771672003,0.0,0,1
accept_1p50_shell2,1,1,3,2,1,1,5,0.12206,0.088810193359375,1.2252614960025867,1.071990577427231,1.46183262600683,0.0,0,1
accept_1p00_shell2,1,1,1,1,1,1,5,0.12206,0.088810193359375,1.1881369662688352,1.0477761682631486,1.4334474956929653,0.0,0,1
accept_1p00_shell2_dense,1,1,1,1,5,4,5,0.11002,0.086402193359375,1.182762876384215,1.0428309011986072,1.3486206687788833,0.0,0,1
accept_1p25,1,0,5,4,1,1,5,0.12206,0.088810193359375,1.1706251574916422,0.7678508691488513,1.847284770411623,5.6,28,1
accept_1p25_shell2,1,1,5,4,1,1,5,0.12206,0.088810193359375,1.1607465628387392,1.0750680081146062,1.269300544501764,0.0,0,1
accept_1p00,1,0,1,1,1,1,5,0.12206,0.088810193359375,1.1050959886110716,0.7706647594448384,1.405245919462905,5.6,28,1
accept_1p50,1,0,3,2,1,1,5,0.12206,0.088810193359375,1.0952152224375096,0.7582318771431228,1.4272338316414488,5.6,28,1
baseline_2p00,1,0,2,1,1,1,5,0.12206,0.088810193359375,1.0005935090941256,0.7657082616987466,1.136337764367785,5.6,28,1
own_cell_only,0,0,1,1,1,1,5,0.0,0.0,0.2089449718534682,0.16178117431473885,0.39718352191154377,22288.0,50000,1
